Name,Campus,Date,Category,Details
Spelling Bee,University of North Carolina at Chapel Hill,12-12-17,Academic,Details for Example 1
Speaker: JK Rowling,University of North Carolina at Chapel Hill,11-10-17,Academic,Details for Example 2
Academic Example,University of North Carolina at Chapel Hill,11-30-17,Academic,Details for Example 3
FootBall Game,University of North Carolina at Chapel Hill,12-12-17,Athletic,Details for Example 1
Soccer Game,University of North Carolina at Chapel Hill,11-10-17,Athletic,Details for Example 2
Tennis Game,University of North Carolina at Chapel Hill,11-30-17,Athletic,Details for Example 3
CampusCleanUp,University of North Carolina at Chapel Hill,12-12-17,Community Service,Details for Example 1
RelayForLife,University of North Carolina at Chapel Hill,11-10-17,Community Service,Details for Example 2
Hack Charlotte,University of North Carolina at Chapel Hill,11-30-17,Technology,UNCC Hackathon. Come out and Join!
Learn Node.js,University of North Carolina at Chapel Hill,12-12-17,Technology,Workshop to teach NodeJs
Wicked,University of North Carolina at Chapel Hill,11-10-17,Arts,"Watch the live musical, Wicked. "
PaintWithFriends,University of North Carolina at Chapel Hill,11-30-17,Arts,Come out to (insert location here) to paint with friends!